115,Notification of Pahari Speaking People Scholarship 2019-20,researchfile/Notification of Pahari Speaking People Scholarship 2019-20.pdf
114,Notice for submission of Minority Scholarship forms 2019-20,researchfile/Notice for submission of Minority Scholarship forms 2019-20.pdf
113,Circular for Submission of Identity Card form,researchfile/Circular for Submission of Identity Card form.pdf
111,Circular Regarding Inventory Management and Record,researchfile/circular.pdf
105,Release of D.A to University employees @17% w.e.f 01-07-2019,researchfile/Revised DA Rate .pdf
103,Notification regarding seeking of option from the State Service Employees for their allocation to the successor Union Territory of Jammu and Kashmir and Union Territory of Ladakh.,researchfile/UT Seeking Format.pdf
102,Reminder for submitting details for Group Medical Insurance,researchfile/Medical Insurance Policy Reminder.pdf
101,Circular regarding adjustment of Advances.,researchfile/Circular Adjustment.pdf
100,Circular regarding Group Medical Insurance,researchfile/Group Insurance.pdf
99,"Office Memo regarding payment of Pay-arrears of 7th Pay Commission. ",researchfile/Arrears.pdf
97,"Notifications regarding functioning of 2nd and 4th Saturday during this Semesters. ",researchfile/Saturdays.pdf
96,NAAC Sub-Committee Visit Schedule,researchfile/NAAC Sub-Committe Visit Schedule.pdf
94,NAAC descriptive points requirement,researchfile/NAAC descriptive points requirement.pdf
92,Notification regarding Printing of Vinile Boards for Departments,researchfile/Vinile Board.pdf
90,Submission of Attendance Report of 16/07/2019 (High Priority),researchfile/Attendance report.pdf
87,Circular and Format for Submission of Daily Attendance of Non-Teaching Staff,researchfile/Notification and Format.pdf
84,"Holiday Notification of Colleges of Nursing, Rajouri and Jammu",researchfile/Nursing vacation.pdf
82,Important Notification for all Departments for NAAC and SSR,researchfile/Naac and SSR.pdf
80,"		 
University and its maintained institutions to observe summer vacation for teachers and students.",researchfile/summer vacations 2019.pdf
76,URGENT: Regarding Updation of Website Data,researchfile/MOST URGENT.pdf
75,Notification of RAMADHAN Timings-2019,researchfile/RAMADHAN TIMING.pdf
69,Construction Project Progress Monitoring cum Assessment Committee,researchfile/CPPMAC.pdf
68,University Works Committee,researchfile/University works committee.pdf
67,"Revised Rate of DA under 7th Pay Commission. ",researchfile/DA Revised.pdf
66,Time bound: Statistical Data for the year 2017-18,researchfile/Stat.pdf
65,"Notice for facilitating quick redressal of all Student Matters ",researchfile/Redressal.pdf
63,"Steering Committee for Implementation of Project""Establishment of APJ Abdul Kalam Botanical Park""",researchfile/steering committee.pdf
62,Students Grievance Committee,researchfile/students grievance committees.pdf
61,Execution Committee for implementation of APJ Abdul Kalam Botanical Park,researchfile/Execution Committee.pdf
60,Reminder for the Submission of Monthly Report on Different Activities and Achievements from each Department.,researchfile/Report Reminder.pdf
59,Submission of Departmental Research Details for NAAC,researchfile/NAAC Research Data.pdf
58,Screening cum Evaluation committee for Promotion of Assistant Professors and other academic staff.,researchfile/screening cum evaluation committee.pdf
