6006,file/ 6006.pdf,"[07-08-2025] Dr. Gulfam Ahamad AP, shall function as Technical coordinator for all activities to My Bharat",.pdf," 6006.pdf"
6004,file/ 6004.pdf,[04-08-2025] Ph.D Viva Notification of Ms. Diksha Khajuria (Department of Biotechnology),.pdf," 6004.pdf"
6002,file/ 6002.pdf,"[04-08-2025] Counselling for Admission to BCA (Hons.) programme   ",.pdf," 6002.pdf"
6001,file/ 6001.pdf,[04-08-2025] Notification regarding Issuance of Middle Level Health Provider Certificate,.pdf," 6001.pdf"
6000,file/ 6000.pdf,[02-08-2025] Merit list-2 for Admission to M.Sc. Zoology-2025,.pdf," 6000.pdf"
5999,file/ 5999.pdf,[02-08-2025] Merit list-2 for Admission to B.Sc. (Hons) Zoology-2025,.pdf," 5999.pdf"
5998,file/ 5998.pdf,[01-08-2025] BCA(Hons.) Admissions Notification for Enhanced Seats,.pdf," 5998.pdf"
5997,file/ 5997.pdf,"[31-07-2025] Extension in the Last date of Admission to UG , PG and Diploma Programmes-2025'",.pdf," 5997.pdf"
5996,file/ 5996.pdf,[31-07-2025] Extension in the Last date of online registration for admission to B.Sc Nursing against self financing seats -2025,.pdf," 5996.pdf"
5995,file/ 5995.pdf,[31-07-2025] On-Spot Counselling cum Admission for BCA(Hons.) course,.pdf," 5995.pdf"
5993,file/ 5993.pdf,[23-07-2025] Detailed advertisement notification for Academic arrangement 2025,.pdf," 5993.pdf"
5992,file/ 5992.pdf,[23-07-2025] Advertisement notification for Academic arrangement 2025,.pdf," 5992.pdf"
5991,file/ 5991.pdf,[23-07-2025] CUET-UG-2025 Admission Notification,.pdf," 5991.pdf"
5021,file/ 5021.pdf,[10-07-2025] Extension Notice for Nursing Admissions 2025-26,.pdf," 5021.pdf"
5020,file/ 5020.pdf,"[02-07-2025] 2nd Round Admission Notification ",.pdf," 5020.pdf"
5019,file/ 5019.pdf,[02-07-2025] Notification regarding Provisional Admission,.pdf," 5019.pdf"
5018,file/ 5018.pdf,[02-07-2025] Summer vacation notification of the nursing college kishtwar,.pdf," 5018.pdf"
5017,file/ 5017.pdf,[01-07-2025] Provisional Selection List-III of the candidates for Admission in BCA (Hons.)-2025,.pdf," 5017.pdf"
5016,file/ 5016.pdf,[30-06-2025] Merit list of candidates for admission to M.A  Pahari 2025-26,.pdf," 5016.pdf"
5015,file/ 5015.pdf,[30-06-2025] Merit list of candidates for admission to M.A Gojri 2025-26,.pdf," 5015.pdf"
5014,file/ 5014.pdf,[30-06-2025] Provisional selection for admission to B.Sc. (Hons) Mathematics,.pdf," 5014.pdf"
5012,file/ 5012.pdf,[27-06-2025] Provisional selection list for admission to M.Tech Water Resources Engineering Programme -2025,.pdf," 5012.pdf"
5011,file/ 5011.pdf,[27-06-2025] Provisional Selection List-II of the candidates for Admission in BCA (Hons.)-2025.,.pdf," 5011.pdf"
5010,file/ 5010.pdf,[27-06-2025] Provisional Selection list for B.Sc. (Hons.) Physics- 2025.,.pdf," 5010.pdf"
5009,file/ 5009.pdf,[27-06-2025] Merit List of  PG Botany-2025,.pdf," 5009.pdf"
5008,file/ 5008.pdf,[27-06-2025] Merit List of B.Sc Botany 2025,.pdf," 5008.pdf"
5007,file/ 5007.pdf,[27-06-2025] Merit List for Admission to FYUP BA (Honors) English 2025-26,.pdf," 5007.pdf"
