582,"Datesheet for M.A. Education ,B.Ed. , M.Ed. ,Semester -I and III (Regular and Backlog)",unidata/univexaminations/Date Sheet Education Department.pdf,~/uniimg/newgif.gif
581,"Datesheet of M.A. Economics, Semester-I, III (Regular and Backlog)",unidata/univexaminations/Date sheeteco202324.pdf,~/uniimg/newgif.gif
580,"Datesheet for B.Sc. Nursing, Semester-I",unidata/univexaminations/Datesheet for B.Sc. NursingSemester-Isept2023.pdf,~/uniimg/newgif.gif
579,Pre Ph.D. course work examination notification,unidata/univexaminations/evsprephdcoursework.pdf,~/uniimg/newgif.gif
578,"Datesheet for MBA HTM, Semester-II",unidata/univexaminations/Date Sheet of MBA HTM 2 Semester .pdf,~/uniimg/newgif.gif
577,"Datesheet for M.A. English, Semester-II",unidata/univexaminations/DocScanner 20 Jul 2023 11-51 am.pdf,~/uniimg/newgif.gif
575,"Revised  laboratory Date-sheets of B.Tech (new courses)/backlog (old course) 2nd , 4th , 6th   semesters laboratory Examinations 2023",unidata/univexaminations/lab date sheet 19 Jul 2023.pdf,~/uniimg/newgif.gif
574,Revised Date Sheet for M.Sc. Physics 2nd Semester (Regular/Backlog,unidata/univexaminations/Department of Physics 2nd(revised).pdf,~/uniimg/newgif.gif
573,Date Sheet for M.Sc. Biotechnology 2nd Semester (Regular/Backlog),unidata/univexaminations/WhatsApp Image 2023-07-17 at 14.08.05.pdf,~/uniimg/newgif.gif
572,Date Sheet for M.Sc. Physics 2nd Semester (Regular/Backlog),unidata/univexaminations/Department of Physics 2nd date sheet.pdf,~/uniimg/newgif.gif
571,"Datesheet of MBA, BBA- Semester-II",unidata/univexaminations/dsmbabba.pdf,~/uniimg/newgif.gif
570,"	
In Continuation, Backlog Datesheet for B.Tech.,Semester-IV (old course)",unidata/univexaminations/ECE-422 old course.pdf,~/uniimg/newgif.gif
568,"Withheld Result Notification of 09-Mic-2020 Semester-III, Department of Microbilogy",unidata/univexaminations/Withheld Result Notification of 09-Mic-2020 Semester-IIIDepartment of Microbilogy.pdf,~/uniimg/newgif.gif
567,"M.Phil. Result Notification of Ms.Samreen Sultana, Department of Zoology",unidata/univexaminations/M.Phil Result Notification of Samreen Sultana Department of Zoology.pdf,~/uniimg/newgif.gif
566,"Datesheet for  Engineering Mechanics (Backlog), Semester-II",unidata/univexaminations/Engg. Mechanics.pdf,~/uniimg/newgif.gif
565,"Revised Datesheet of M.A. Economics, Semester-II, IV",unidata/univexaminations/reDatesheet 2&4 Sem 2023_3.pdf,~/uniimg/newgif.gif
564,"Rescheduled Datesheet of B.Tech/BE End Semester Examination due to summer vacations (Effective for papers Earlier Scheduled after May 31, 2023)",unidata/univexaminations/Revised After Vacation Datesheet.pdf,~/uniimg/newgif.gif
562,"Datesheet for M.Sc. Environmental Science, Semester-IV",unidata/univexaminations/WhatsApp Image 2023-05-17 at 11.28.17.pdf,~/uniimg/newgif.gif
561,"Revised Theory Examination Datesheet of B.Tech/BE (Regular and Backlog) for 2nd,4th,6th,8th semester",unidata/univexaminations/Theorybtechrevised Datesheet End Semester.pdf,~/uniimg/newgif.gif
560,"Practical Examination Date Sheet of B.Tech/BE for 2nd,4th,6th,8th semester",unidata/univexaminations/Practical Datesheet End Semester.pdf,~/uniimg/newgif.gif
557,"Datesheet for Diploma in Engineering (Laboratory), Semester- II, IV, VI, May-June2023",unidata/univexaminations/Datesheet Diploma Engineering (Laboratory) May-June 2023.pdf,~/uniimg/newgif.gif
556,"Datesheet for Diploma in Engineering (Theory), Semester- II, IV, VI, May-June2023",unidata/univexaminations/Datesheet Diploma Engineering (Theory) May-June2023.pdf,~/uniimg/newgif.gif
553,"	
Datesheet for M.Sc. Physics, Semester-IV",unidata/univexaminations/4thsemM.Sc Physic date-sheet.pdf,~/uniimg/newgif.gif
552,"Datesheet for B.Sc. Nursing,Ist, IInd, IIIrd and IVth Year",unidata/univexaminations/DS1234N.pdf,~/uniimg/newgif.gif
551,"Datesheet for M.Sc. IT., Semester-II, IV",unidata/univexaminations/DocScanner 4 May 2023 13-05.pdf,~/uniimg/newgif.gif
550,"Datesheet of MBA-Semester-IV, B.VoC. Semester-II,IV, VI ",unidata/univexaminations/Date sheetmbabavoc2464.pdf,~/uniimg/newgif.gif
